Louvain_cluster,Cluster_Label,Cluster_Index,Celltype,Stage
0,S08-blastula,0,blastula,S08
1,S08-blastula,0,blastula,S08
2,S08-blastula,0,blastula,S08
3,S08-blastula,0,blastula,S08
4,S08-blastula,0,blastula,S08
5,S08-blastula,0,blastula,S08
6,S08-blastula,0,blastula,S08
7,S08-blastula,0,blastula,S08
8,S08-blastula,0,blastula,S08
9,S08-blastula,0,blastula,S08
10,S08-blastula,0,blastula,S08
11,S08-blastula,0,blastula,S08
12,S08-blastula,0,blastula,S08
13,S08-blastula,0,blastula,S08
14,S08-blastula,0,blastula,S08
15,S08-blastula,0,blastula,S08
16,S08-blastula,0,blastula,S08
17,S08-blastula,0,blastula,S08
18,S08-blastula,0,blastula,S08
19,S08-blastula,0,blastula,S08
20,S08-blastula,0,blastula,S08
21,S08-blastula,0,blastula,S08
22,S08-blastula,0,blastula,S08
23,S08-blastula,0,blastula,S08
24,S08-blastula,0,blastula,S08
25,S08-blastula,0,blastula,S08
26,S08-blastula,0,blastula,S08
27,S08-blastula,0,blastula,S08
28,S08-blastula,0,blastula,S08
29,S08-blastula,0,blastula,S08
30,S08-blastula,0,blastula,S08
31,S08-blastula,0,blastula,S08
32,S08-blastula,0,blastula,S08
33,S08-blastula,0,blastula,S08
34,S08-blastula,0,blastula,S08
35,S08-blastula,0,blastula,S08
36,S08-blastula,0,blastula,S08
37,S08-blastula,0,blastula,S08
38,S08-blastula,0,blastula,S08
39,S08-blastula,0,blastula,S08
40,S08-blastula,0,blastula,S08
41,S08-blastula,0,blastula,S08
42,S08-blastula,0,blastula,S08
43,S08-blastula,0,blastula,S08
44,S08-blastula,0,blastula,S08
45,S08-blastula,0,blastula,S08
46,S08-blastula,0,blastula,S08
47,S08-blastula,0,blastula,S08
48,S08-blastula,0,blastula,S08
49,S08-blastula,0,blastula,S08
50,S08-blastula,0,blastula,S08
51,S08-blastula,0,blastula,S08
52,S08-blastula,0,blastula,S08
53,S08-blastula,0,blastula,S08
54,S08-blastula,0,blastula,S08
55,S08-blastula,0,blastula,S08
56,S08-blastula,0,blastula,S08
57,S08-blastula,0,blastula,S08
58,S08-blastula,0,blastula,S08
59,S08-blastula,0,blastula,S08
60,S08-blastula,0,blastula,S08
61,S08-blastula,0,blastula,S08
